名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
鸿景花园,21256,高新-高新一中 西安市雁塔区高新五路与科技一路十字东南角,108.886702,34.221776,高新二期,二手房,2000,1
含光佳苑,15388,高新-高新一中 高新路67号,108.894575,34.218981,高新一期,二手房,2005,1
海佳云顶,9904,高新-高新四路 高新三路2号,108.894765,34.235575,高新一期,二手房,2004,1
华怡园,26787,高新-高新一中 西安市雁塔区高新四路20号,108.887860,34.224659,高新一期,二手房,1998,1
华立苑,23331,高新-高新一中 科技一路4号,108.893096,34.220043,高新二期,二手房,2008,1
交警支队社区,9649,高新-徐家庄 太白南路8号,108.933260,34.147566,高新二期,二手房,2004,1
金泰和樾,21329,高新-软件新城 科技七路与化龙二路十字东南,108.847843,34.200434,软件新城,二手房,2026,1
隆基泰和云玺领峯,25609,高新-软件新城 软件新城天谷三路与云水三路交叉口西北角,108.820733,34.223626,软件新城,二手房,,1
领航·云熙,15584,高新-科技路西口 雁塔区科技路与高新六路交汇处向北200米,108.871046,34.236793,高新一期,二手房,,1
糜家桥小区,8427,高新-徐家庄 高新路25号,108.901860,34.228663,高新一期,二手房,1996,1
南飞鸿·鸿锦城,17961,"高新-鱼化寨 福谦路南侧,化龙三路西侧,科技二路北侧",108.838335,34.217815,高新二期,二手房,2016,1
秦锦苑,21049,高新-高新一中 科技路付26号,108.900138,34.222735,高新二期,二手房,2000,1
融鑫园小区,9251,高新-徐家庄 融鑫路8号,108.905178,34.218179,高新二期,二手房,1999,1
热电小区,8574,高新-大寨路 民洁路3号,108.869574,34.244509,高新一期,二手房,1998,1
水晶国际,28369,高新-高新一中 科技2路39号,108.895563,34.216831,高新二期,二手房,2006,1
时代风尚,13469,高新-大寨路 昆明路与团结南路交汇处东南角,108.876627,34.244695,高新一期,二手房,2012,1
天竹元谷,15472,高新-大寨路 西二环与昆明路十字向西500米(昆明路与团结..,108.875820,34.245279,高新一期,二手房,2015,1
天地源龙湖春江天境,19534,高新-西万路口 西安国际社区(梁家滩国际学校北侧),108.753558,34.133678,高新二期,二手房,2022,1
文华阁,17732,高新-高新一中 高新四路和科技一路口(高科花园二期南门对面),108.886587,34.224024,高新一期,二手房,2002,1
欣景苑,11416,高新-徐家庄 博文路15号,108.897938,34.216177,高新二期,二手房,2003,1
心桥佳苑,16780,高新-唐延路 唐延路与科技四路十字东南侧,108.885377,34.213634,高新二期,二手房,2011,1
远洋落子栖,15192,高新-大寨路 昆明路与丈八北路十字东南角向东300m,108.868822,34.245443,高新一期,二手房,2020,1
紫薇生态城,21212,高新-西万路口 西安国际社区,108.754176,34.135415,高新二期,二手房,,1
长安园公寓小区,11052,高新-锦业路 硕士路2号,108.852787,34.169028,高新二期,二手房,2005,1
中海·云水观园,,高新-软件新城 高新区丝路软件城科技六路以南、化龙二路以西,108.821299,34.221004,软件新城,二手房,2025,1
20所社区,17922,高新-徐家庄 科技路俪人医院对面,108.901317,34.225969,高新二期,二手房,2010,0
3507家属院,8327,高新-大寨路 昆明路十字向西300米,109.090109,34.318632,高新一期,二手房,1990,0
